	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
10	bc2126_lorbin	bin_6	bacteria_odb10	4.0	4.0	0.0	7.3	88.7	124	2323053	2323053	0.000%	8	0.0	4.69	Neural Network (Specific Model)	4	0.742	2323053	186.5990545390878	16988263	0.48	22846	None	15121	2806	8	kingdom	1.0	0.19	0.0	0.07	0.15	0.4	0.08	True	8	8	8	8	8	8	16988263	16988263	16988263	16988263	16988263	16988263	8	4399715	16988263	47.84	2323053	972516	2662596.1	3	7	0.0
11	bc2126_lorbin	bin_7	bacteria_odb10	14.5	14.5	0.0	4.8	80.7	124	22873	22873	0.000%	33	14.99	0.0	Neural Network (Specific Model)	11	0.848	22873	243.17109826589595	740996	0.47	865	None	839	797	33	family	0.99	0.94	0.16	0.05	0.11	0.91	0.86	True	33	33	33	33	8	1	740996	740996	740996	740996	289946	53658	33	53658	740996	46.91	22873	14693	26523.8	12	28	0.0
12	bc2126_lorbin	bin_8	bacteria_odb10	4.0	3.2	0.8	10.5	85.5	124	224489	224489	0.000%	2783	0.0	8.92	Neural Network (Specific Model)	11	0.43	224489	125.87107930256016	35712070	0.5	41638	None	26412	4193	150	kingdom	1.0	0.16	0.0	0.06	0.12	0.5	0.08	True	2783	2783	2072	123	47	28	35712070	35712070	32453387	21127831	19892756	19277498	2783	2327933	35712070	50.34	224489	5051	689017.5	19	2010	0.0
13	bc2127_lorbin	bin_0	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	3740568	3740568	0.000%	1	100.0	0.05	Neural Network (Specific Model)	11	0.876	3740568	290.81588735387885	3740568	0.41	3764	None	3779	3707	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.9	0.88	True	1	1	1	1	1	1	3740568	3740568	3740568	3740568	3740568	3740568	1	3740568	3740568	41.37	3740568	3740568	3740568.0	1	1	0.0
14	bc2127_lorbin	bin_1	bacteria_odb10	96.8	96.0	0.8	1.6	1.6	124	3780328	3780328	0.000%	1	100.0	0.0	Neural Network (Specific Model)	11	0.926	3780328	320.5594846491228	3780328	0.71	3648	None	3660	3613	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.84	0.83	True	1	1	1	1	1	1	3780328	3780328	3780328	3780328	3780328	3780328	1	3780328	3780328	70.97	3780328	3780328	3780328.0	1	1	0.0
15	bc2127_lorbin	bin_2	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	5277862	5277862	0.000%	1	100.0	0.0	Neural Network (Specific Model)	11	0.895	5277862	329.8801756587202	5277862	0.65	4782	None	4816	4727	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True	1	1	1	1	1	1	5277862	5277862	5277862	5277862	5277862	5277862	1	5277862	5277862	65.46	5277862	5277862	5277862.0	1	1	0.0
16	bc2127_lorbin	bin_3	bacteria_odb10	75.0	67.7	7.3	5.6	19.4	124	84813	84813	0.000%	138	86.54	7.35	Neural Network (Specific Model)	11	0.857	84813	310.9585089567966	8237636	0.73	7592	None	7536	7364	138	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.91	True	138	138	138	136	107	62	8237636	8237636	8237636	8220606	7678296	6036982	138	293335	8237636	72.59	84813	31135	93666.5	33	98	0.0
17	bc2127_lorbin	bin_4	bacteria_odb10	8.1	8.1	0.0	14.5	77.4	124	5534883	5534883	0.000%	7	0.0	45.54	Neural Network (Specific Model)	4	0.736	5534883	186.7351004213196	36658181	0.48	48894	None	32357	5938	7	kingdom	1.0	0.18	0.0	0.07	0.16	0.4	0.07	True	7	7	7	7	7	7	36658181	36658181	36658181	36658181	36658181	36658181	7	9350955	36658181	47.63	5534883	3820664	6224876.7	3	6	0.0
18	bc2127_lorbin	bin_5	bacteria_odb10	6.5	6.5	0.0	12.9	80.6	124	4399726	4399726	0.000%	48	0.0	43.74	Neural Network (Specific Model)	4	0.743	4399726	186.8512899161965	40709879	0.48	54771	None	35878	6433	45	kingdom	1.0	0.18	0.0	0.08	0.17	0.4	0.07	True	48	48	48	48	36	29	40709879	40709879	40709879	40709879	40505233	40305142	48	6915055	40709879	47.95	4399726	453549	4061894.3	4	13	0.0
19	bc2127_lorbin	bin_6	bacteria_odb10	2.4	1.6	0.8	2.4	95.2	124	1417419	1417419	0.000%	8	5.03	9.47	Neural Network (Specific Model)	11	0.609	1417419	145.91213271474766	5020462	0.44	7113	None	4126	884	8	kingdom	1.0	0.21	0.0	0.05	0.1	0.4	0.08	True	8	8	7	7	5	4	5020462	5020462	5016426	5016426	4981893	4947806	8	2101535	5020462	43.65	1417419	472268	1506912.8	2	4	0.0
20	bc2127_lorbin	bin_8	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	5546	5546	0.000%	4341	27.21	19.74	Gradient Boost (General Model)	11	0.407	5546	113.07999611197512	25466540	0.39	30864	Low confidence prediction - substantial (69%) disagreement between completeness prediction models	17832	2231	1303	kingdom	0.99	0.12	0.0	0.0	0.0	0.8	0.1	True	4341	4341	2621	58	29	10	25466540	25466540	17891125	3098946	2556221	1964506	4341	480512	25466540	39.04	5546	4314	27560.6	1643	3698	0.0
21	bc2128_SemiBin2	SemiBin_1	bacteria_odb10	3.2	3.2	0.0	8.1	88.7	124	4219512	4219512	0.000%	4	0.03	6.27	Neural Network (Specific Model)	4	0.718	4219512	187.53373526993693	14074368	0.47	18245	None	11798	2293	4	kingdom	1.0	0.19	0.0	0.07	0.14	0.4	0.08	True	4	4	4	4	4	4	14074368	14074368	14074368	14074368	14074368	14074368	4	5661544	14074368	46.62	4219512	4126865	4752809.6	2	3	0.0
22	bc2128_SemiBin2	SemiBin_12	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	88496	88496	0.000%	4	12.97	0.01	Neural Network (Specific Model)	4	0.724	88496	204.36658932714616	360812	0.5	431	None	315	67	4	kingdom	1.0	0.21	0.0	0.06	0.13	0.39	0.08	True	4	4	4	4	4	3	360812	360812	360812	360812	360812	330524	4	168476	360812	49.82	88496	73552	117909.0	2	3	0.0
23	bc2128_SemiBin2	SemiBin_15	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	170735	170735	0.000%	5	5.91	0.1	Neural Network (Specific Model)	11	0.601	170735	153.6171052631579	577155	0.47	760	None	604	170	4	kingdom	0.99	0.28	0.0	0.0	0.0	0.4	0.11	True	5	5	5	5	3	3	577155	577155	577155	577155	531336	531336	5	269472	577155	46.66	170735	91129	192530.3	2	3	0.0
24	bc2128_SemiBin2	SemiBin_18	bacteria_odb10	0.8	0.8	0.0	1.6	97.6	124	124351	124351	0.000%	8	16.39	0.01	Neural Network (Specific Model)	11	0.606	124351	210.72074468085103	780326	0.53	752	None	800	274	8	kingdom	1.0	0.34	0.0	0.03	0.05	0.54	0.19	True	8	8	8	8	8	5	780326	780326	780326	780326	780326	671859	8	299487	780326	52.53	124351	41984	167349.4	2	6	0.0
25	bc2128_SemiBin2	SemiBin_21	bacteria_odb10	12.1	12.1	0.0	1.6	86.3	124	989629	989629	0.000%	4	25.47	0.0	Neural Network (Specific Model)	11	0.857	989629	333.71880706025564	1914932	0.7	1643	None	1632	1608	4	kingdom	1.0	0.99	0.0	0.0	0.0	0.86	0.85	True	4	4	4	4	4	4	1914932	1914932	1914932	1914932	1914932	1914932	4	989629	1914932	69.86	989629	144086	775089.7	1	3	0.0
26	bc2128_SemiBin2	SemiBin_3	bacteria_odb10	100.0	94.4	5.6	0.0	0.0	124	8220558	8220558	0.000%	4	100.0	5.72	Neural Network (Specific Model)	11	0.885	8220558	349.1571682383491	8643708	0.73	7317	None	7327	7280	4	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	4	4	4	4	4	3	8643708	8643708	8643708	8643708	8643708	8605627	4	8220558	8643708	72.62	8220558	8220558	7829289.9	1	1	0.0
27	bc2128_SemiBin2	SemiBin_5	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	111502	111502	0.000%	3	4.1	0.01	Neural Network (Specific Model)	11	0.636	111502	160.80071174377224	211320	0.5	281	None	212	19	3	kingdom	1.0	0.09	0.0	0.11	0.23	0.35	0.03	True	3	3	3	3	3	2	211320	211320	211320	211320	211320	163231	3	111502	211320	50.37	111502	48089	82439.6	1	3	0.0
28	bc2128_SemiBin2	SemiBin_6	bacteria_odb10	4.0	4.0	0.0	5.6	90.4	124	5417278	5417278	0.000%	18	0.04	9.19	Neural Network (Specific Model)	4	0.732	5417278	185.34043086172343	17893872	0.47	23952	None	15642	2830	18	kingdom	1.0	0.18	0.0	0.07	0.16	0.4	0.07	True	18	18	18	18	18	16	17893872	17893872	17893872	17893872	17893872	17810939	18	7135081	17893872	47.12	5417278	1679129	4910762.1	2	4	0.0
29	bc2128_SemiBin2	SemiBin_9	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	311604	311604	0.000%	3	6.08	0.26	Neural Network (Specific Model)	4	0.726	311604	190.6335877862596	611492	0.49	786	None	537	100	3	kingdom	1.0	0.19	0.0	0.05	0.1	0.4	0.07	True	3	3	3	3	3	3	611492	611492	611492	611492	611492	611492	3	311604	611492	48.57	311604	92282	243197.4	1	3	0.0
30	bc2128_lorbin	bin_0	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	3740568	3740568	0.000%	1	100.0	0.05	Neural Network (Specific Model)	11	0.876	3740568	290.8650013287271	3740568	0.41	3763	None	3781	3706	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.9	0.88	True	1	1	1	1	1	1	3740568	3740568	3740568	3740568	3740568	3740568	1	3740568	3740568	41.37	3740568	3740568	3740568.0	1	1	0.0
31	bc2128_lorbin	bin_1	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	8217103	8217103	0.000%	1	100.0	0.02	Neural Network (Specific Model)	11	0.888	8217103	351.8241583586187	8217103	0.73	6921	None	6927	6891	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	1	1	1	1	1	1	8217103	8217103	8217103	8217103	8217103	8217103	1	8217103	8217103	72.58	8217103	8217103	8217103.0	1	1	0.0
32	bc2128_lorbin	bin_11	bacteria_odb10	0.8	0.8	0.0	3.2	96.0	124	25861	25861	0.000%	334	2.54	6.22	Neural Network (Specific Model)	4	0.765	25861	174.40598112104252	8054326	0.49	11971	None	7704	1437	308	kingdom	1.0	0.19	0.0	0.06	0.13	0.41	0.08	True	334	334	334	331	120	16	8054326	8054326	8054326	8028108	4308802	965804	334	92674	8054326	49.15	25861	15277	30009.7	109	271	0.0
33	bc2128_lorbin	bin_14	bacteria_odb10	0.8	0.8	0.0	3.2	96.0	124	25016	25016	0.000%	98	5.31	4.5	Neural Network (Specific Model)	4	0.799	25016	191.3069099611128	2360352	0.5	3343	None	2284	547	96	kingdom	1.0	0.24	0.0	0.08	0.17	0.41	0.1	True	98	98	98	98	34	1	2360352	2360352	2360352	2360352	1190789	84977	98	84977	2360352	49.66	25016	16121	28587.8	34	82	0.0
34	bc2128_lorbin	bin_2	bacteria_odb10	72.6	72.6	0.0	7.3	20.1	124	34295	34295	0.000%	137	56.72	0.82	Neural Network (Specific Model)	11	0.839	34295	289.76279179438814	4381388	0.73	4241	None	4232	4129	137	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True	137	137	137	136	88	13	4381388	4381388	4381388	4372190	3457367	876223	137	95022	4381388	73.32	34295	19960	39175.9	45	110	0.0
35	bc2128_lorbin	bin_3	bacteria_odb10	64.5	63.7	0.8	4.8	30.7	124	40013	40013	0.000%	105	51.83	2.1	Neural Network (Specific Model)	11	0.836	40013	286.25094035464804	3810289	0.73	3722	None	3694	3555	105	kingdom	1.0	0.96	0.0	0.0	0.0	0.78	0.75	True	105	105	105	104	69	21	3810289	3810289	3810289	3803998	3127985	1492589	105	145907	3810289	73.13	40013	22156	49168.4	31	82	0.0
36	bc2128_lorbin	bin_4	bacteria_odb10	54.8	52.4	2.4	7.3	37.9	124	78524	78524	0.000%	86	62.7	1.71	Neural Network (Specific Model)	11	0.836	78524	305.7814207650273	4804749	0.7	4392	None	4333	4202	86	kingdom	1.0	0.97	0.0	0.0	0.0	0.86	0.84	True	86	86	86	83	65	39	4804749	4804749	4804749	4778200	4454292	3530462	86	255517	4804749	69.99	78524	27659	88870.5	22	60	0.0
37	bc2128_lorbin	bin_5	bacteria_odb10	5.6	5.6	0.0	12.9	81.5	124	5417289	5417289	0.000%	7	0.0	37.31	Neural Network (Specific Model)	4	0.734	5417289	187.35926201849333	34409790	0.48	45638	None	29940	5420	7	kingdom	1.0	0.18	0.0	0.08	0.16	0.4	0.07	True	7	7	7	7	7	7	34409790	34409790	34409790	34409790	34409790	34409790	7	7131718	34409790	47.56	5417289	3879987	5552228.8	3	6	0.0
38	bc2128_lorbin	bin_7	bacteria_odb10	0.0	0.0	0.0	0.8	99.2	124	22891	22891	0.000%	6	10.22	0.0	Neural Network (Specific Model)	11	0.636	22891	142.53804347826087	122504	0.49	184	None	136	27	6	kingdom	1.0	0.2	0.0	0.22	0.53	0.4	0.08	True	6	6	6	6	1	0	122504	122504	122504	122504	27169	0	6	27169	122504	49.43	22891	15302	21363.4	3	6	0.0
39	bc2128_lorbin	bin_8	bacteria_odb10	0.0	0.0	0.0	0.8	99.2	124	30834	30834	0.000%	18	16.09	0.02	Neural Network (Specific Model)	4	0.745	30834	169.59025787965615	468390	0.5	698	None	478	74	17	kingdom	1.0	0.15	0.0	0.11	0.24	0.43	0.07	True	18	18	18	18	7	1	468390	468390	468390	468390	279150	51876	18	51876	468390	50.17	30834	15100	32111.4	6	15	0.0
40	bc2172_SemiBin2	SemiBin_1	bacteria_odb10	0.8	0.8	0.0	4.8	94.4	124	4051824	4051824	0.000%	1	9.52	4.86	Neural Network (Specific Model)	4	0.725	4051824	188.5515151515152	4051824	0.47	5280	None	3469	697	1	kingdom	1.0	0.2	0.0	0.07	0.15	0.4	0.08	True	1	1	1	1	1	1	4051824	4051824	4051824	4051824	4051824	4051824	1	4051824	4051824	46.75	4051824	4051824	4051824.0	1	1	0.0
41	bc2172_SemiBin2	SemiBin_2	bacteria_odb10	0.0	0.0	0.0	4.0	96.0	124	6918618	6918618	0.000%	1	0.32	8.93	Neural Network (Specific Model)	4	0.744	6918618	191.9915048543689	6918618	0.49	9064	None	6255	1038	1	kingdom	1.0	0.17	0.0	0.09	0.19	0.41	0.07	True	1	1	1	1	1	1	6918618	6918618	6918618	6918618	6918618	6918618	1	6918618	6918618	48.64	6918618	6918618	6918618.0	1	1	0.0
42	bc2172_SemiBin2	SemiBin_3	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1090126	1090126	0.000%	1	12.42	4.65	Neural Network (Specific Model)	4	0.761	1090126	182.927734375	1090126	0.49	1536	None	1006	169	1	kingdom	1.0	0.17	0.0	0.1	0.22	0.42	0.07	True	1	1	1	1	1	1	1090126	1090126	1090126	1090126	1090126	1090126	1	1090126	1090126	49.43	1090126	1090126	1090126.0	1	1	0.0
