	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
10	bc2164_SemiBin2	SemiBin_4	bacteria_odb10	98.3	80.6	17.7	1.6	0.1	124	4175564	4175564	0.000%	20	100.0	23.41	Neural Network (Specific Model)	11	0.889	4175564	324.68010798042855	6479410	0.63	5927	None	5982	5778	20	family	0.88	0.85	0.98	0.31	0.93	0.9	0.76	False	20	20	20	20	19	10	6479410	6479410	6479410	6479410	6455813	6117736	20	4175564	6479410	62.64	4175564	101124	2810076.4	1	6	0.0
11	bc2164_SemiBin2	SemiBin_6	bacteria_odb10	54.8	49.2	5.6	5.6	39.6	124	78784	78784	0.000%	36	51.34	3.7	Gradient Boost (General Model)	11	0.875	78784	283.11226944667203	2413582	0.6	2494	None	2506	2406	36	class	0.98	0.94	1.0	0.46	0.99	0.78	0.73	False	36	36	36	36	32	22	2413582	2413582	2413582	2413582	2325613	1993223	36	220665	2413582	59.95	78784	30884	96632.1	10	27	0.0
12	bc2165_SemiBin2	SemiBin_15	bacteria_odb10	71.8	69.4	2.4	7.3	20.9	124	103870	103870	0.000%	57	74.51	4.77	Neural Network (Specific Model)	11	0.869	103870	284.9498816101026	4967870	0.66	5068	None	5047	4929	57	genus	0.94	0.92	0.69	0.16	0.37	0.9	0.83	False	57	57	57	57	52	34	4967870	4967870	4967870	4967870	4872858	4174654	57	553332	4967870	66.02	103870	38765	181916.4	11	41	0.0
13	bc2165_SemiBin2	SemiBin_23	bacteria_odb10	14.5	14.5	0.0	0.8	84.7	124	37764	37764	0.000%	10	11.71	0.04	Neural Network (Specific Model)	11	0.798	37764	216.6847058823529	344476	0.33	425	None	413	392	10	phylum	1.0	0.95	1.0	0.14	0.32	0.89	0.84	False	10	10	10	10	9	0	344476	344476	344476	344476	327524	0	10	46069	344476	33.12	37764	25665	36494.4	5	9	0.0
14	bc2165_SemiBin2	SemiBin_31	bacteria_odb10	25.8	25.8	0.0	8.1	66.1	124	48878	48878	0.000%	38	37.14	0.02	Neural Network (Specific Model)	11	0.856	48878	281.14599774520855	1738953	0.65	1774	None	1751	1663	38	family	0.93	0.88	0.9	0.02	0.05	0.91	0.8	False	38	38	38	38	32	11	1738953	1738953	1738953	1738953	1623728	828045	38	106324	1738953	64.53	48878	28392	56833.3	12	30	0.0
15	bc2165_SemiBin2	SemiBin_32	bacteria_odb10	58.1	50.0	8.1	1.6	40.3	124	892103	892103	0.000%	13	45.61	7.42	Neural Network (Specific Model)	11	0.861	892103	319.423466516601	3945436	0.73	3554	None	3565	3500	13	genus	0.99	0.97	0.99	0.02	0.04	0.95	0.92	False	13	13	13	13	11	10	3945436	3945436	3945436	3945436	3907024	3878095	13	1466001	3945436	73.39	892103	143608	841845.5	2	7	0.0
16	bc2165_SemiBin2	SemiBin_4	bacteria_odb10	97.6	59.7	37.9	0.0	2.4	124	2802445	2802445	0.000%	21	72.15	18.76	Neural Network (Specific Model)	11	0.873	2802445	290.3089058524173	3913610	0.6	3930	None	3929	3836	21	family	0.96	0.94	0.88	0.16	0.38	0.89	0.84	False	21	21	21	21	20	12	3913610	3913610	3913610	3913610	3895992	3618287	21	2802445	3913610	60.45	2802445	52269	2026584.0	1	11	0.0
17	bc2165_lorbin	bin_13	bacteria_odb10	62.1	55.6	6.5	7.3	30.6	124	41611	41611	0.000%	73	60.9	9.18	Gradient Boost (General Model)	11	0.861	41611	239.32715529345688	2948588	0.65	3561	None	3512	3393	73	genus	0.87	0.84	0.54	0.02	0.05	0.95	0.8	False	73	73	73	73	61	12	2948588	2948588	2948588	2948588	2683404	798474	73	107693	2948588	64.63	41611	26071	46272.8	27	60	0.0
18	bc2165_lorbin	bin_15	bacteria_odb10	69.3	63.7	5.6	8.1	22.6	124	146459	146459	0.000%	28	68.24	4.86	Gradient Boost (General Model)	11	0.807	146459	287.62339796253696	3244859	0.71	3043	None	3088	2947	28	order	0.96	0.91	1.0	0.02	0.05	0.96	0.87	False	28	28	28	28	27	22	3244859	3244859	3244859	3244859	3225488	3034612	28	346087	3244859	71.41	146459	62861	171742.1	8	20	0.0
19	bc2165_lorbin	bin_17	bacteria_odb10	54.8	50.0	4.8	2.4	42.8	124	46161	46161	0.000%	94	57.57	9.62	Neural Network (Specific Model)	11	0.855	46161	265.71804680468045	4126474	0.63	4444	None	4444	4228	94	family	0.88	0.83	0.7	0.4	1.2	0.82	0.69	False	94	94	94	93	77	23	4126474	4126474	4126474	4117315	3765631	1804859	94	349439	4126474	62.98	46161	26795	73702.5	29	76	0.0
20	bc2165_lorbin	bin_19	bacteria_odb10	38.7	37.1	1.6	4.8	56.5	124	50613	50613	0.000%	48	47.81	3.28	Neural Network (Specific Model)	11	0.873	50613	250.66679389312972	2242707	0.55	2620	None	2542	2437	48	genus	0.87	0.84	0.99	0.07	0.15	0.92	0.77	False	48	48	48	48	43	19	2242707	2242707	2242707	2242707	2133055	1221797	48	130619	2242707	54.53	50613	31160	55244.8	18	39	0.0
21	bc2165_lorbin	bin_20	bacteria_odb10	36.3	33.9	2.4	7.3	56.4	124	37468	37468	0.000%	74	35.76	4.73	Neural Network (Specific Model)	11	0.866	37468	269.24791086350973	2664113	0.66	2872	None	2833	2728	74	order	0.91	0.88	1.0	0.15	0.35	0.84	0.74	False	74	74	74	74	55	11	2664113	2664113	2664113	2664113	2265639	736166	74	101099	2664113	66.49	37468	23434	43603.5	25	61	0.0
22	bc2165_lorbin	bin_21	bacteria_odb10	10.5	10.5	0.0	4.0	85.5	124	40151	40151	0.000%	28	18.73	0.25	Neural Network (Specific Model)	11	0.843	40151	254.6821639898563	1065446	0.62	1183	None	1168	987	27	family	0.88	0.74	0.98	0.24	0.56	0.85	0.63	False	28	28	28	28	21	4	1065446	1065446	1065446	1065446	925452	259882	28	88658	1065446	62.35	40151	22380	44307.2	11	23	0.0
23	bc2165_lorbin	bin_22	bacteria_odb10	17.7	16.9	0.8	5.6	76.7	124	45349	45349	0.000%	41	24.5	0.25	Neural Network (Specific Model)	11	0.838	45349	271.3507825148408	1791078	0.72	1853	None	1838	1724	41	genus	0.81	0.76	1.0	0.05	0.11	0.86	0.65	False	41	41	41	41	33	9	1791078	1791078	1791078	1791078	1641945	743356	41	136028	1791078	72.37	45349	27818	59878.0	13	32	0.0
24	bc2165_lorbin	bin_23	bacteria_odb10	8.1	8.1	0.0	2.4	89.5	124	44716	44716	0.000%	13	11.39	0.03	Neural Network (Specific Model)	11	0.859	44716	229.61699164345404	572645	0.64	718	None	685	636	13	class	0.98	0.91	0.88	0.07	0.16	0.84	0.76	False	13	13	13	13	13	3	572645	572645	572645	572645	572645	168918	13	61712	572645	63.72	44716	35907	45785.5	6	12	0.0
25	bc2166_SemiBin2	SemiBin_2	bacteria_odb10	8.1	8.1	0.0	0.8	91.1	124	251621	251621	0.000%	3	10.83	0.0	Neural Network (Specific Model)	11	0.908	251621	309.05194805194805	470605	0.64	462	None	456	449	3	genus	0.78	0.76	0.92	0.03	0.05	0.89	0.68	False	3	3	3	3	3	3	470605	470605	470605	470605	470605	470605	3	251621	470605	63.94	251621	93017	186638.4	1	3	0.0
26	bc2166_SemiBin2	SemiBin_4	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	4441546	4441546	0.000%	4	100.0	3.73	Neural Network (Specific Model)	11	0.895	4441546	316.33936170212763	5964895	0.56	5640	None	5577	5420	4	genus	0.83	0.8	0.98	0.19	0.46	0.92	0.73	False	4	4	4	4	4	4	5964895	5964895	5964895	5964895	5964895	5964895	4	4441546	5964895	55.91	4441546	1233998	3571629.4	1	2	0.0
27	bc2166_SemiBin2	SemiBin_8	bacteria_odb10	56.4	54.8	1.6	2.4	41.2	124	2990349	2990349	0.000%	6	70.99	3.08	Neural Network (Specific Model)	11	0.894	2990349	335.02939142461963	3243681	0.65	2892	None	2884	2774	6	genus	0.9	0.87	0.66	0.06	0.12	0.9	0.78	False	6	6	6	6	6	3	3243681	3243681	3243681	3243681	3243681	3129328	6	2990349	3243681	64.71	2990349	2990349	2761369.9	1	1	0.0
28	bc2166_lorbin	bin_14	bacteria_odb10	37.1	37.1	0.0	16.1	46.8	124	57759	57759	0.000%	48	51.1	0.95	Neural Network (Specific Model)	11	0.852	57759	278.47415468324914	2510565	0.68	2573	None	2503	2344	48	genus	0.78	0.73	0.59	0.03	0.06	0.79	0.58	False	48	48	48	48	45	22	2510565	2510565	2510565	2510565	2449715	1573881	48	140399	2510565	68.27	57759	31947	62726.6	17	39	0.0
29	bc2166_lorbin	bin_16	bacteria_odb10	41.1	41.1	0.0	5.6	53.3	124	43308	43308	0.000%	30	29.26	0.79	Neural Network (Specific Model)	11	0.884	43308	265.1520737327189	1166126	0.68	1302	None	1283	1225	30	genus	0.86	0.82	0.74	0.03	0.07	0.82	0.67	False	30	30	30	29	27	4	1166126	1166126	1166126	1158223	1115755	224229	30	61606	1166126	68.18	43308	28239	42026.0	12	25	0.0
30	bc2166_lorbin	bin_44	bacteria_odb10	5.6	5.6	0.0	1.6	92.8	124	28392	28392	0.000%	15	7.33	0.0	Neural Network (Specific Model)	11	0.834	28392	274.4325699745547	386235	0.72	393	None	389	370	15	genus	0.91	0.87	0.92	0.59	2.77	0.87	0.76	False	15	15	15	15	7	1	386235	386235	386235	386235	260248	51396	15	51396	386235	71.59	28392	13952	32261.7	5	12	0.0
31	bc2161_SemiBin2	SemiBin_0	bacteria_odb10	12.9	12.9	0.0	1.6	85.5	124	984524	984524	0.000%	1	26.02	0.0	Neural Network (Specific Model)	11	0.881	984524	291.7744209466264	984524	0.42	993	None	999	979	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.9	0.89	True	1	1	1	1	1	1	984524	984524	984524	984524	984524	984524	1	984524	984524	41.63	984524	984524	984524.0	1	1	0.0
32	bc2161_SemiBin2	SemiBin_1	bacteria_odb10	100.0	57.3	42.7	0.0	0.0	124	4791729	4791729	0.000%	5	99.92	51.19	Neural Network (Specific Model)	11	0.883	4791729	318.7311650885138	7872371	0.54	7287	None	7166	7019	5	class	1.0	0.98	0.01	0.04	0.09	0.89	0.87	True	5	5	5	5	5	5	7872371	7872371	7872371	7872371	7872371	7872371	5	4791729	7872371	54.49	4791729	631834	3490668.2	1	3	0.0
33	bc2161_SemiBin2	SemiBin_10	bacteria_odb10	99.2	99.2	0.0	0.8	0.0	124	3897655	3897655	0.000%	1	77.39	0.0	Neural Network (Specific Model)	11	0.88	3897655	308.96921415068863	3897655	0.62	3703	None	3699	3620	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.83	0.81	True	1	1	1	1	1	1	3897655	3897655	3897655	3897655	3897655	3897655	1	3897655	3897655	61.86	3897655	3897655	3897655.0	1	1	0.0
34	bc2161_SemiBin2	SemiBin_12	bacteria_odb10	65.3	65.3	0.0	1.6	33.1	124	2045789	2045789	0.000%	1	53.93	0.1	Neural Network (Specific Model)	11	0.87	2045789	293.74530168150346	2045789	0.41	2022	None	2036	1982	1	kingdom	1.0	0.97	0.0	0.0	0.0	0.9	0.87	True	1	1	1	1	1	1	2045789	2045789	2045789	2045789	2045789	2045789	1	2045789	2045789	41.46	2045789	2045789	2045789.0	1	1	0.0
35	bc2161_SemiBin2	SemiBin_13	bacteria_odb10	3.2	3.2	0.0	0.8	96.0	124	347839	347839	0.000%	1	7.6	0.0	Neural Network (Specific Model)	11	0.906	347839	288.04918032786884	347839	0.68	366	None	361	349	1	kingdom	1.0	0.97	0.0	0.0	0.0	0.78	0.75	True	1	1	1	1	1	1	347839	347839	347839	347839	347839	347839	1	347839	347839	68.43	347839	347839	347839.0	1	1	0.0
36	bc2161_SemiBin2	SemiBin_16	bacteria_odb10	12.1	12.1	0.0	1.6	86.3	124	621002	621002	0.000%	1	16.35	0.03	Neural Network (Specific Model)	11	0.891	621002	290.54631083202514	621002	0.55	637	None	615	608	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.91	0.9	True	1	1	1	1	1	1	621002	621002	621002	621002	621002	621002	1	621002	621002	55.14	621002	621002	621002.0	1	1	0.0
37	bc2161_SemiBin2	SemiBin_2	bacteria_odb10	98.4	98.4	0.0	0.8	0.8	124	3873870	3873870	0.000%	1	100.0	0.27	Neural Network (Specific Model)	11	0.934	3873870	330.5840853158326	3873870	0.68	3657	None	3665	3627	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.78	0.77	True	1	1	1	1	1	1	3873870	3873870	3873870	3873870	3873870	3873870	1	3873870	3873870	67.71	3873870	3873870	3873870.0	1	1	0.0
38	bc2161_SemiBin2	SemiBin_3	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	8223971	8223971	0.000%	1	100.0	0.02	Neural Network (Specific Model)	11	0.888	8223971	351.6253968253968	8223971	0.73	6930	None	6933	6896	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	1	1	1	1	1	1	8223971	8223971	8223971	8223971	8223971	8223971	1	8223971	8223971	72.58	8223971	8223971	8223971.0	1	1	0.0
39	bc2161_SemiBin2	SemiBin_4	bacteria_odb10	100.0	96.8	3.2	0.0	0.0	124	7171083	7171083	0.000%	1	100.0	0.12	Neural Network (Specific Model)	11	0.873	7171083	338.81790173504135	7171083	0.73	6167	None	6199	6141	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True	1	1	1	1	1	1	7171083	7171083	7171083	7171083	7171083	7171083	1	7171083	7171083	73.33	7171083	7171083	7171083.0	1	1	0.0
40	bc2161_SemiBin2	SemiBin_5	bacteria_odb10	0.0	0.0	0.0	1.6	98.4	124	469801	469801	0.000%	1	7.67	0.01	Neural Network (Specific Model)	11	0.721	469801	258.908466819222	469801	0.32	437	None	458	382	1	kingdom	1.0	0.83	0.0	0.0	0.0	0.71	0.59	True	1	1	1	1	1	1	469801	469801	469801	469801	469801	469801	1	469801	469801	31.6	469801	469801	469801.0	1	1	0.0
41	bc2161_SemiBin2	SemiBin_6	bacteria_odb10	0.0	0.0	0.0	1.6	98.4	124	422290	422290	0.000%	1	6.07	0.0	Neural Network (Specific Model)	11	0.83	422290	287.85749385749386	422290	0.74	407	None	403	384	1	kingdom	1.0	0.95	0.0	0.0	0.0	0.92	0.87	True	1	1	1	1	1	1	422290	422290	422290	422290	422290	422290	1	422290	422290	73.54	422290	422290	422290.0	1	1	0.0
42	bc2161_SemiBin2	SemiBin_7	bacteria_odb10	98.4	97.6	0.8	0.8	0.8	124	5833113	5833113	0.000%	2	100.0	0.33	Neural Network (Specific Model)	11	0.904	5833113	331.8760620613225	5955716	0.66	5414	None	5428	5389	2	genus	0.94	0.93	0.02	0.03	0.07	0.9	0.84	True	2	2	2	2	2	2	5955716	5955716	5955716	5955716	5955716	5955716	2	5833113	5955716	65.59	5833113	5833113	5715557.8	1	1	0.0
43	bc2161_SemiBin2	SemiBin_8	bacteria_odb10	25.0	25.0	0.0	1.6	73.4	124	603186	603186	0.000%	4	19.2	0.04	Neural Network (Specific Model)	11	0.897	603186	301.8489042675894	872485	0.55	867	None	853	840	4	genus	0.92	0.91	0.11	0.02	0.05	0.94	0.85	True	4	4	4	4	3	3	872485	872485	872485	872485	850460	850460	4	603186	872485	55.39	603186	103607	453524.2	1	3	0.0
44	bc2161_lorbin	bin_0	bacteria_odb10	99.2	95.2	4.0	0.8	0.0	124	5233164	5233164	0.000%	1	100.0	0.0	Neural Network (Specific Model)	11	0.838	5233164	277.73704195936966	5233164	0.35	5267	None	5271	5167	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True	1	1	1	1	1	1	5233164	5233164	5233164	5233164	5233164	5233164	1	5233164	5233164	35.32	5233164	5233164	5233164.0	1	1	0.0
45	bc2161_lorbin	bin_1	bacteria_odb10	99.2	97.6	1.6	0.0	0.8	124	5340606	5340606	0.000%	1	100.0	0.66	Neural Network (Specific Model)	11	0.905	5340606	331.4006568144499	5340606	0.6	4872	None	4849	4759	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.79	0.78	True	1	1	1	1	1	1	5340606	5340606	5340606	5340606	5340606	5340606	1	5340606	5340606	59.9	5340606	5340606	5340606.0	1	1	0.0
46	bc2161_lorbin	bin_10	bacteria_odb10	74.2	71.0	3.2	16.1	9.7	124	92158	92158	0.000%	88	75.51	11.82	Neural Network (Specific Model)	11	0.804	92158	268.7369265319217	6220917	0.73	6234	None	6114	5731	88	family	0.97	0.91	0.14	0.02	0.05	0.93	0.85	True	88	88	88	88	81	49	6220917	6220917	6220917	6220917	6076518	4909781	88	375833	6220917	73.39	92158	37321	114093.4	21	66	0.0
47	bc2161_lorbin	bin_12	bacteria_odb10	72.6	69.4	3.2	8.1	19.3	124	120562	120562	0.000%	61	76.65	13.45	Neural Network (Specific Model)	11	0.854	120562	288.25240384615387	4615607	0.73	4576	None	4593	4387	61	family	0.89	0.85	0.15	0.03	0.06	0.85	0.72	True	61	61	61	60	52	26	4615607	4615607	4615607	4608982	4452392	3525539	61	358753	4615607	72.57	120562	32413	152047.4	11	42	0.0
48	bc2161_lorbin	bin_13	bacteria_odb10	100.0	0.0	100.0	0.0	0.0	124	4791729	4791729	0.000%	2	100.0	94.92	Neural Network (Specific Model)	11	0.882	4791729	322.0340610355469	9564604	0.54	8749	None	8619	8445	2	kingdom	1.0	0.98	0.0	0.0	0.0	0.89	0.87	True	2	2	2	2	2	2	9564604	9564604	9564604	9564604	9564604	9564604	2	4791729	9564604	54.41	4791729	4772875	4782320.6	1	2	0.0
49	bc2161_lorbin	bin_14	bacteria_odb10	60.5	53.2	7.3	4.8	34.7	124	50532	50532	0.000%	58	51.79	6.11	Neural Network (Specific Model)	11	0.874	50532	289.69734004313443	2757425	0.55	2782	None	2695	2636	58	kingdom	1.0	0.98	0.0	0.0	0.0	0.89	0.87	True	58	58	58	58	53	22	2757425	2757425	2757425	2757425	2655218	1465572	58	94518	2757425	54.61	50532	31004	54659.2	21	47	0.0
50	bc2161_lorbin	bin_15	bacteria_odb10	98.4	0.0	98.4	0.8	0.8	124	5838253	5838253	0.000%	2	99.02	101.69	Neural Network (Specific Model)	11	0.905	5838253	332.74978755547164	11671366	0.66	10591	None	10619	10544	2	kingdom	1.0	0.99	0.0	0.0	0.0	0.89	0.89	True	2	2	2	2	2	2	11671366	11671366	11671366	11671366	11671366	11671366	2	5838253	11671366	65.88	5838253	5833113	5835684.1	1	2	0.0
51	bc2161_lorbin	bin_16	bacteria_odb10	28.2	27.4	0.8	8.1	63.7	124	49617	49617	0.000%	71	34.39	0.12	Neural Network (Specific Model)	11	0.819	49617	260.3236074270557	3220333	0.72	3393	None	3268	3059	71	kingdom	1.0	0.94	0.0	0.0	0.0	0.85	0.79	True	71	71	71	70	61	22	3220333	3220333	3220333	3211044	3032129	1594069	71	184255	3220333	72.12	49617	28617	60096.6	23	56	0.0
52	bc2161_lorbin	bin_2	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	8227477	8227477	0.000%	1	100.0	0.02	Neural Network (Specific Model)	11	0.887	8227477	351.58171065916633	8227477	0.73	6933	None	6937	6899	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	1	1	1	1	1	1	8227477	8227477	8227477	8227477	8227477	8227477	1	8227477	8227477	72.58	8227477	8227477	8227477.0	1	1	0.0
53	bc2161_lorbin	bin_20	bacteria_odb10	21.8	21.8	0.0	0.0	78.2	124	1458911	1458911	0.000%	3	33.91	0.17	Neural Network (Specific Model)	11	0.881	1458911	320.1674986134221	1961943	0.54	1803	None	1762	1725	3	order	0.95	0.93	0.03	0.02	0.04	0.88	0.82	True	3	3	3	3	3	3	1961943	1961943	1961943	1961943	1961943	1961943	3	1458911	1961943	54.23	1458911	227924	1149908.6	1	3	0.0
54	bc2161_lorbin	bin_21	bacteria_odb10	18.5	17.7	0.8	2.4	79.1	124	403140	403140	0.000%	5	30.84	1.32	Neural Network (Specific Model)	11	0.89	403140	317.42930780559647	1449460	0.55	1358	None	1343	1309	5	class	0.99	0.96	0.04	0.02	0.05	0.91	0.87	True	5	5	5	5	5	5	1449460	1449460	1449460	1449460	1449460	1449460	5	461919	1449460	55.23	403140	95571	379436.9	2	4	0.0
55	bc2161_lorbin	bin_22	bacteria_odb10	11.3	11.3	0.0	0.8	87.9	124	404858	404858	0.000%	1	9.51	0.0	Neural Network (Specific Model)	11	0.857	404858	309.83422459893046	404858	0.53	374	None	364	353	1	kingdom	1.0	0.97	0.0	0.0	0.0	0.88	0.86	True	1	1	1	1	1	1	404858	404858	404858	404858	404858	404858	1	404858	404858	52.68	404858	404858	404858.0	1	1	0.0
56	bc2161_lorbin	bin_3	bacteria_odb10	100.0	96.8	3.2	0.0	0.0	124	7169783	7169783	0.000%	1	100.0	0.12	Neural Network (Specific Model)	11	0.873	7169783	338.8679643146796	7169783	0.73	6165	None	6198	6141	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True	1	1	1	1	1	1	7169783	7169783	7169783	7169783	7169783	7169783	1	7169783	7169783	73.34	7169783	7169783	7169783.0	1	1	0.0
57	bc2161_lorbin	bin_4	bacteria_odb10	99.2	99.2	0.0	0.8	0.0	124	3897655	3897655	0.000%	1	77.39	0.0	Neural Network (Specific Model)	11	0.88	3897655	308.96921415068863	3897655	0.62	3703	None	3699	3620	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.83	0.81	True	1	1	1	1	1	1	3897655	3897655	3897655	3897655	3897655	3897655	1	3897655	3897655	61.86	3897655	3897655	3897655.0	1	1	0.0
