# id: 'stats_table'
# section_name: 'Dereplicate bins stats'
# no_beeswarm: True
# plot_type: 'table'
genome_id	genome_name	completeness	contamination	genome_length	genome_N50	contig_count	sum_numreads	sum_meandepth
bc2170_bin_406	s__Paenibacillus polysaccharolyticus	97.74	7.89	16633353.0	43978.0	394.0	63700.0	28.495427466760795
bc2171_bin_19	s__Bordetella_A sp002261185	100.0	0.07	5640460.0	5640460.0	1.0	56303.0	114.02799418500001
bc2169_bin_162	s__Achromobacter ruhlandii	100.0	0.06	6380935.0	6380935.0	1.0	43197.0	66.378027481
bc2161_bin_28	g__Bordetella_A	99.99	0.65	5340606.0	5340606.0	1.0	39744.0	73.801997148
bc2162_bin_140	s__Methylobacterium radiotolerans	100.0	0.17	5922691.0	5922691.0	1.0	36142.0	49.385663093999995
bc2121_bin_9	g__Nocardiopsis	99.98	0.13	6193895.0	6193895.0	1.0	33332.0	43.402179399999994
bc2169_bin_159	s__Glycomyces sp035765105	99.42	0.21	4667271.0	4667271.0	1.0	24890.0	41.03475599000001
bc2173_bin_4	s__Pseudomonas_E fulva_B	99.96	0.09	5103136.0	5103136.0	1.0	23774.0	45.371795795000004
bc2169_bin_90	g__Glycomyces	78.98	0.1	3609587.0	2178884.0	11.0	21720.0	42.87076874344582
bc2127_bin_5	s__Leifsonia virtsii	100.0	0.0	3780328.0	3780328.0	1.0	18725.0	37.696776666999995
bc2172_bin_42	s__Brucella intermedia	99.99	0.46	4676694.0	2558761.0	2.0	16874.0	22.11930327297248
bc2169_bin_5	s__Enterobacter cloacae	100.0	0.01	4810248.0	4792661.0	2.0	16465.0	29.775955223563503
bc2164_bin_186	s__Paracoccus alcaliphilus	99.96	0.29	4321360.0	3353778.0	5.0	16295.0	33.94787534581905
bc2121_bin_107	s__Streptomyces sedi	82.91	1.22	5755202.0	69039.0	104.0	15296.0	18.84576424663528
bc2167_bin_11	s__Dermacoccus nishinomiyaensis	100.0	1.43	3081641.0	3081641.0	1.0	14278.0	38.44746952899999
bc2169_bin_169	s__Achromobacter dolens	100.0	0.11	6266697.0	6266697.0	1.0	13688.0	18.668169561000003
bc2171_bin_4	g__Advenella	100.0	0.38	4650029.0	4650029.0	1.0	11719.0	26.46482684
bc2166_bin_922	g__Advenella	99.78	2.39	9424368.0	206410.0	73.0	11279.0	9.11313580372497
bc2169_bin_158	g__Bordetella	99.99	0.28	5372283.0	5372283.0	1.0	11097.0	17.942037985
bc2169_bin_19	g__Aquamicrobium_A	99.96	0.0	4271679.0	4271679.0	1.0	10583.0	21.693634610000004
bc2169_bin_20	g__Pelagibacterium	99.94	0.37	3610009.0	3610009.0	1.0	10576.0	26.258790886999996
bc2165_bin_12	s__Stenotrophomonas maltophilia_G	100.0	0.18	4615726.0	4615726.0	1.0	10297.0	21.221883959
bc2169_bin_128	s__Luteimonas abyssi	99.55	0.82	3905832.0	2640334.0	2.0	9733.0	22.07499721013243
bc2124_bin_381	s__Nocardiopsis eucommiae	99.9	1.64	5987887.0	1390012.0	17.0	9040.0	13.315934252975204
bc2171_bin_36	s__Brucella pseudogrignonensis	99.31	0.03	4146461.0	2464969.0	2.0	8141.0	15.114281240969351
bc2166_bin_10	s__Paenibacillus xylanexedens_B	100.0	0.2	6678054.0	6678054.0	1.0	7914.0	10.549178103
bc2169_bin_28	g__Microbacterium	100.0	0.17	3773607.0	3773607.0	1.0	7054.0	16.36814607
bc2123_bin_556	g__Aureimonas	55.17	3.86	3525599.0	39943.0	96.0	6960.0	14.150749198227189
bc2172_bin_149	g__Bordetella_B	94.6	0.39	5821250.0	181869.0	73.0	6334.0	7.079187854905035
bc2164_bin_51	g__Advenella	61.97	6.65	2868363.0	92195.0	39.0	6313.0	18.75771187027619
bc2122_bin_11	s__Bacillus velezensis	100.0	0.02	3850925.0	2028920.0	2.0	6068.0	14.117597004910067
bc2161_bin_10	s__Bacillus_A cereus	100.0	0.0	5233164.0	5233164.0	1.0	5543.0	10.02166498
bc2161_bin_75	s__Cellulosimicrobium funkei	99.99	0.44	4444578.0	4444578.0	1.0	5429.0	11.446622921
bc2169_bin_134	s__Advenella incenata	80.62	0.51	3434384.0	175967.0	24.0	5265.0	12.340653289325422
bc2169_bin_103	s__Cumulibacter soli	93.48	0.71	3849589.0	292962.0	19.0	4139.0	10.333965062212851
bc2169_bin_121	g__Amoebophilus	98.34	0.48	1792314.0	1792314.0	1.0	4046.0	20.15350354
bc2161_bin_38	g__Microbacterium	99.81	4.63	3970143.0	2263026.0	4.0	3975.0	9.292759684388459
bc2173_bin_482	s__Paracoccus onubensis_A	92.16	2.49	4843498.0	451359.0	17.0	3555.0	6.724779152932103
bc2174_bin_10	g__Brevibacterium	82.19	0.23	3527624.0	541418.0	12.0	3401.0	8.825268577135716
bc2163_bin_3	s__Bacillus safensis	99.43	0.14	3623249.0	1369808.0	4.0	2869.0	7.508780731255462
bc2162_bin_99	s__Fontibacillus timonensis	95.19	0.07	5313106.0	239601.0	28.0	2571.0	4.313653117940359
bc2169_bin_1265	g__Sphingobacterium	75.58	2.68	3290443.0	63632.0	65.0	2405.0	4.659710755739911
bc2173_bin_61	g__Bordetella_A	78.05	0.37	3935091.0	221094.0	27.0	2324.0	6.2871171538106125
bc2164_bin_65	g__Agrococcus	87.91	0.17	3204766.0	198018.0	21.0	2053.0	5.9324656886057845
bc2169_bin_963	s__Nocardioides luteus	66.09	3.09	3351597.0	42613.0	80.0	1960.0	4.469475106859404
bc2171_bin_5	s__Pigmentiphaga kullae	91.35	0.76	5619259.0	206523.0	36.0	1938.0	3.8710871170025056
bc2169_bin_1405	g__Pseudactinotalea	55.35	4.56	3506523.0	35554.0	103.0	1440.0	2.8342306650768294
bc2169_bin_116	s__Aureimonas altamirensis	64.28	0.88	3087177.0	73557.0	50.0	1253.0	3.2936433893870034
bc2166_bin_92	g__Pelagibacterium	88.17	1.84	3077047.0	206007.0	27.0	1180.0	3.7684919457889143
bc2127_bin_1	Unclassified	61.3	9.33	3376366.0	4457.0	762.0	891.0	1.0401334027048608
bc2169_bin_911	s__Leucobacter sp020096995	63.22	0.09	2402833.0	64098.0	46.0	841.0	3.03081748046019
bc2173_bin_45	g__Aureimonas	52.63	1.86	2454754.0	58468.0	45.0	670.0	2.6264530754273543
bc2164_bin_13	g__Aliihoeflea	50.69	0.14	1921745.0	58067.0	40.0	592.0	2.5811466373929948
